Unnamed: 0,both_proper_decay,proper_tau_decay_only,proper_antitau_decy_only,no_proper_decays,num_taus_fully_reconstructed,num_taus_not_reconstructed,num_antitaus_fully_reconstructed,num_antitaus_not_reconstructed,num_both_fully_reconstructed,num_both_not_reconstructed
0,1516,928,936,555,783,0,805,0,0,0
0,1513,930,937,555,820,0,797,0,0,0
0,1513,930,934,558,792,0,809,0,0,0
0,1513,929,936,559,796,0,771,0,0,0
0,1513,930,936,557,818,0,794,0,0,0
0,1514,931,936,556,819,0,807,0,0,0
0,1515,929,935,557,802,0,810,0,0,0
0,1514,929,936,557,805,0,826,0,0,0
0,1513,929,935,557,799,0,787,0,0,0
0,1512,931,936,556,783,0,791,0,0,0
0,1514,929,936,557,780,0,806,0,0,0
0,1050,642,641,385,553,0,523,0,0,0
0,1852,1256,1209,683,938,0,950,0,0,0
0,1850,1256,1208,686,957,0,935,0,0,0
0,1852,1254,1208,686,950,0,946,0,0,0
0,1852,1254,1206,688,939,0,933,0,0,0
0,1852,1255,1209,684,952,0,953,0,0,0
0,1852,1256,1207,685,965,0,931,0,0,0
0,1851,1255,1208,686,970,0,913,0,0,0
0,1852,1253,1209,686,945,0,943,0,0,0
0,1850,1257,1206,687,949,0,952,0,0,0
0,1850,1256,1205,689,948,0,915,0,0,0
0,1514,930,935,558,821,0,799,0,0,0
0,1515,928,935,557,808,0,817,0,0,0
0,1514,930,935,557,799,0,762,0,0,0
0,1514,929,935,557,805,0,791,0,0,0
0,1513,930,935,558,805,0,803,0,0,0
0,1514,929,935,556,808,0,787,0,0,0
